,gtfs_stop_id,stop_name,borough,gtfs_latitude,gtfs_longitude,north_direction_label,south_direction_label,daytime_routes,structure,ada
0,R01,Astoria-Ditmars Blvd,Queens,40.775036,-73.912034,Last Stop,Manhattan,N W,Elevated,0
1,R03,Astoria Blvd,Queens,40.770258,-73.917843,Astoria,Manhattan,N W,Elevated,1
2,R04,30 Av,Queens,40.766779,-73.921479,Astoria,Manhattan,N W,Elevated,0
3,R05,Broadway,Queens,40.76182,-73.925508,Astoria,Manhattan,N W,Elevated,0
4,R06,36 Av,Queens,40.756804,-73.929575,Astoria,Manhattan,N W,Elevated,0
5,R08,39 Av-Dutch Kills,Queens,40.752882,-73.932755,Astoria,Manhattan,N W,Elevated,0
6,R11,Lexington Av/59 St,Manhattan,40.76266,-73.967258,Queens,Downtown,N R W,Subway,0
7,R13,5 Av/59 St,Manhattan,40.764811,-73.973347,Queens,Downtown,N R W,Subway,0
8,R14,57 St-7 Av,Manhattan,40.764664,-73.980658,Uptown,Downtown,N Q R W,Subway,1
9,R15,49 St,Manhattan,40.759901,-73.984139,Uptown,Downtown,N R W,Subway,2
10,R16,Times Sq-42 St,Manhattan,40.754672,-73.986754,Uptown,Downtown,N Q R W,Subway,1
11,R17,34 St-Herald Sq,Manhattan,40.749567,-73.98795,Uptown,Downtown,N Q R W,Subway,1
12,R18,28 St,Manhattan,40.745494,-73.988691,Uptown,Downtown,R W,Subway,0
13,R19,23 St,Manhattan,40.741303,-73.989344,Uptown,Downtown,R W,Subway,0
14,R20,14 St-Union Sq,Manhattan,40.735736,-73.990568,Uptown,Downtown,N Q R W,Subway,1
15,R21,8 St-NYU,Manhattan,40.730328,-73.992629,Uptown,Downtown,R W,Subway,0
16,R22,Prince St,Manhattan,40.724329,-73.997702,Uptown,Downtown,R W,Subway,0
17,R23,Canal St,Manhattan,40.719527,-74.001775,Uptown,Downtown,R W,Subway,0
18,Q01,Canal St,Manhattan,40.718383,-74.00046,Uptown,Downtown,N Q,Subway,0
19,R24,City Hall,Manhattan,40.713282,-74.006978,Uptown,Downtown,R W,Subway,0
20,R25,Cortlandt St,Manhattan,40.710668,-74.011029,Uptown,Downtown,R W,Subway,1
21,R26,Rector St,Manhattan,40.70722,-74.013342,Uptown,Downtown,R W,Subway,0
22,R27,Whitehall St-South Ferry,Manhattan,40.703087,-74.012994,Uptown,Downtown,R W,Subway,0
23,R28,Court St,Brooklyn,40.6941,-73.991777,Manhattan,Southbound,R,Subway,0
24,R29,Jay St-MetroTech,Brooklyn,40.69218,-73.985942,Manhattan,Southbound,R,Subway,1
25,R30,DeKalb Av,Brooklyn,40.690635,-73.981824,Manhattan,Southbound,B Q R,Subway,1
26,R31,Atlantic Av-Barclays Ctr,Brooklyn,40.683666,-73.97881,Manhattan,Southbound,D N R,Subway,1
27,R32,Union St,Brooklyn,40.677316,-73.98311,Manhattan,Southbound,R,Subway,0
28,R33,4 Av-9 St,Brooklyn,40.670847,-73.988302,Manhattan,Southbound,R,Subway,0
29,R34,Prospect Av,Brooklyn,40.665414,-73.992872,Manhattan,Southbound,R,Subway,0
30,R35,25 St,Brooklyn,40.660397,-73.998091,Manhattan,Southbound,R,Subway,0
31,R36,36 St,Brooklyn,40.655144,-74.003549,Manhattan,Southbound,D N R,Subway,0
32,R39,45 St,Brooklyn,40.648939,-74.010006,Manhattan,Southbound,R,Subway,0
33,R40,53 St,Brooklyn,40.645069,-74.014034,Manhattan,Southbound,R,Subway,0
34,R41,59 St,Brooklyn,40.641362,-74.017881,Manhattan,Southbound,N R,Subway,1
35,R42,Bay Ridge Av,Brooklyn,40.634967,-74.023377,Manhattan,Bay Ridge,R,Subway,0
36,R43,77 St,Brooklyn,40.629742,-74.02551,Manhattan,Bay Ridge,R,Subway,0
37,R44,86 St,Brooklyn,40.622687,-74.028398,Manhattan,Bay Ridge,R,Subway,1
38,R45,Bay Ridge-95 St,Brooklyn,40.616622,-74.030876,Manhattan,Last Stop,R,Subway,0
39,D24,Atlantic Av-Barclays Ctr,Brooklyn,40.68446,-73.97689,Manhattan,Southbound,B Q,Subway,1
40,D25,7 Av,Brooklyn,40.67705,-73.972367,Manhattan,Southbound,B Q,Subway,0
41,D26,Prospect Park,Brooklyn,40.661614,-73.962246,Northbound,Southbound,B Q S,Open Cut,1
42,D27,Parkside Av,Brooklyn,40.655292,-73.961495,Manhattan,Southbound,Q,Open Cut,0
43,D28,Church Av,Brooklyn,40.650527,-73.962982,Manhattan,Southbound,B Q,Open Cut,0
44,D29,Beverley Rd,Brooklyn,40.644031,-73.964492,Manhattan,Southbound,Q,Open Cut,0
45,D30,Cortelyou Rd,Brooklyn,40.640927,-73.963891,Manhattan,Southbound,Q,Open Cut,0
46,D31,Newkirk Plaza,Brooklyn,40.635082,-73.962793,Manhattan,Southbound,B Q,Open Cut,0
47,D32,Avenue H,Brooklyn,40.62927,-73.961639,Manhattan,Southbound,Q,Open Cut,1
48,D33,Avenue J,Brooklyn,40.625039,-73.960803,Manhattan,Southbound,Q,Open Cut,0
49,D34,Avenue M,Brooklyn,40.617618,-73.959399,Manhattan,Southbound,Q,Open Cut,0
50,D35,Kings Hwy,Brooklyn,40.60867,-73.957734,Manhattan,Southbound,B Q,Open Cut,1
51,D37,Avenue U,Brooklyn,40.5993,-73.955929,Manhattan,Southbound,Q,Open Cut,0
52,D38,Neck Rd,Brooklyn,40.595246,-73.955161,Manhattan,Southbound,Q,Open Cut,0
53,D39,Sheepshead Bay,Brooklyn,40.586896,-73.954155,Manhattan,Southbound,B Q,Open Cut,0
54,D40,Brighton Beach,Brooklyn,40.577621,-73.961376,Manhattan,Southbound,B Q,Elevated,0
55,D41,Ocean Pkwy,Brooklyn,40.576312,-73.968501,Manhattan,Coney Island,Q,Elevated,0
56,D42,W 8 St-NY Aquarium,Brooklyn,40.576127,-73.975939,Manhattan,Coney Island,F Q,Elevated,0
57,D43,Coney Island-Stillwell Av,Brooklyn,40.577422,-73.981233,Manhattan,Last Stop,D F N Q,Viaduct,1
58,B12,9 Av,Brooklyn,40.646292,-73.994324,Manhattan,Southbound,D,Open Cut,0
59,B13,Fort Hamilton Pkwy,Brooklyn,40.640914,-73.994304,Manhattan,Southbound,D,Elevated,0
60,B14,50 St,Brooklyn,40.63626,-73.994791,Manhattan,Southbound,D,Elevated,0
61,B15,55 St,Brooklyn,40.631435,-73.995476,Manhattan,Southbound,D,Elevated,0
62,B16,62 St,Brooklyn,40.626472,-73.996895,Manhattan,Southbound,D,Elevated,1
63,B17,71 St,Brooklyn,40.619589,-73.998864,Manhattan,Southbound,D,Elevated,0
64,B18,79 St,Brooklyn,40.613501,-74.00061,Manhattan,Southbound,D,Elevated,0
65,B19,18 Av,Brooklyn,40.607954,-74.001736,Manhattan,Southbound,D,Elevated,0
66,B20,20 Av,Brooklyn,40.604556,-73.998168,Manhattan,Southbound,D,Elevated,0
67,B21,Bay Pkwy,Brooklyn,40.601875,-73.993728,Manhattan,Southbound,D,Elevated,1
68,B22,25 Av,Brooklyn,40.597704,-73.986829,Manhattan,Coney Island,D,Elevated,0
69,B23,Bay 50 St,Brooklyn,40.588841,-73.983765,Manhattan,Coney Island,D,Elevated,0
70,N02,8 Av,Brooklyn,40.635064,-74.011719,Manhattan,Coney Island,N,Open Cut,1
71,N03,Fort Hamilton Pkwy,Brooklyn,40.631386,-74.005351,Manhattan,Coney Island,N,Open Cut,0
72,N04,New Utrecht Av,Brooklyn,40.624842,-73.996353,Manhattan,Coney Island,N,Open Cut,1
73,N05,18 Av,Brooklyn,40.620671,-73.990414,Manhattan,Coney Island,N,Open Cut,0
74,N06,20 Av,Brooklyn,40.61741,-73.985026,Manhattan,Coney Island,N,Open Cut,0
75,N07,Bay Pkwy,Brooklyn,40.611815,-73.981848,Manhattan,Coney Island,N,Open Cut,0
76,N08,Kings Hwy,Brooklyn,40.603923,-73.980353,Manhattan,Coney Island,N,Open Cut,0
77,N09,Avenue U,Brooklyn,40.597473,-73.979137,Manhattan,Coney Island,N,Open Cut,0
78,N10,86 St,Brooklyn,40.592721,-73.97823,Manhattan,Coney Island,N,Open Cut,0
79,J12,121 St,Queens,40.700492,-73.828294,Jamaica,Manhattan,J Z,Elevated,0
80,J13,111 St,Queens,40.697418,-73.836345,Jamaica,Manhattan,J,Elevated,0
81,J14,104 St,Queens,40.695178,-73.84433,Jamaica,Manhattan,J Z,Elevated,0
82,J15,Woodhaven Blvd,Queens,40.693879,-73.851576,Jamaica,Manhattan,J Z,Elevated,0
83,J16,85 St-Forest Pkwy,Queens,40.692435,-73.86001,Jamaica,Manhattan,J,Elevated,0
84,J17,75 St-Elderts Ln,Queens,40.691324,-73.867139,Jamaica,Manhattan,J Z,Elevated,0
85,J19,Cypress Hills,Brooklyn,40.689941,-73.87255,Queens,Manhattan,J,Elevated,0
86,J20,Crescent St,Brooklyn,40.683194,-73.873785,Outbound,Manhattan,J Z,Elevated,0
87,J21,Norwood Av,Brooklyn,40.68141,-73.880039,Outbound,Manhattan,J Z,Elevated,0
88,J22,Cleveland St,Brooklyn,40.679947,-73.884639,Outbound,Manhattan,J,Elevated,0
89,J23,Van Siclen Av,Brooklyn,40.678024,-73.891688,Outbound,Manhattan,J Z,Elevated,0
90,J24,Alabama Av,Brooklyn,40.676992,-73.898654,Outbound,Manhattan,J Z,Elevated,0
91,J27,Broadway Junction,Brooklyn,40.679498,-73.904512,Outbound,Manhattan,J Z,Elevated,0
92,J28,Chauncey St,Brooklyn,40.682893,-73.910456,Outbound,Manhattan,J Z,Elevated,0
93,J29,Halsey St,Brooklyn,40.68637,-73.916559,Outbound,Manhattan,J,Elevated,0
94,J30,Gates Av,Brooklyn,40.68963,-73.92227,Outbound,Manhattan,J Z,Elevated,0
95,J31,Kosciuszko St,Brooklyn,40.693342,-73.928814,Outbound,Manhattan,J,Elevated,0
96,M11,Myrtle Av,Brooklyn,40.697207,-73.935657,Outbound,Manhattan,M J Z,Elevated,0
97,M12,Flushing Av,Brooklyn,40.70026,-73.941126,Outbound,Manhattan,M J,Elevated,1
98,M13,Lorimer St,Brooklyn,40.703869,-73.947408,Outbound,Manhattan,M J,Elevated,0
99,M14,Hewes St,Brooklyn,40.70687,-73.953431,Outbound,Manhattan,M J,Elevated,0
100,M16,Marcy Av,Brooklyn,40.708359,-73.957757,Outbound,Manhattan,M J Z,Elevated,1
101,M18,Delancey St-Essex St,Manhattan,40.718315,-73.987437,Brooklyn,Inbound,M J Z,Subway,0
102,M19,Bowery,Manhattan,40.72028,-73.993915,Brooklyn,Downtown,J Z,Subway,0
103,M20,Canal St,Manhattan,40.718092,-73.999892,Brooklyn,Downtown,J Z,Subway,0
104,M21,Chambers St,Manhattan,40.713243,-74.003401,Brooklyn,Downtown,J Z,Subway,1
105,M22,Fulton St,Manhattan,40.710374,-74.007582,Brooklyn,Downtown,J Z,Subway,1
106,M23,Broad St,Manhattan,40.706476,-74.011056,Brooklyn,Last Stop,J Z,Subway,0
107,M01,Middle Village-Metropolitan Av,Queens,40.711396,-73.889601,Inbound,Last Stop,M,Elevated,1
108,M04,Fresh Pond Rd,Queens,40.706186,-73.895877,Inbound,Middle Village,M,Elevated,0
109,M05,Forest Av,Queens,40.704423,-73.903077,Inbound,Middle Village,M,Elevated,0
110,M06,Seneca Av,Queens,40.702762,-73.90774,Inbound,Middle Village,M,Elevated,0
111,M08,Myrtle-Wyckoff Avs,Brooklyn,40.69943,-73.912385,Inbound,Middle Village,M,Elevated,1
112,M09,Knickerbocker Av,Brooklyn,40.698664,-73.919711,Inbound,Middle Village,M,Elevated,0
113,M10,Central Av,Brooklyn,40.697857,-73.927397,Inbound,Middle Village,M,Elevated,0
114,L01,8 Av,Manhattan,40.739777,-74.002578,Last Stop,Brooklyn,L,Subway,1
115,L02,6 Av,Manhattan,40.737335,-73.996786,West Side,Brooklyn,L,Subway,1
116,L03,14 St-Union Sq,Manhattan,40.734789,-73.99073,West Side,Brooklyn,L,Subway,1
117,L05,3 Av,Manhattan,40.732849,-73.986122,West Side,Brooklyn,L,Subway,0
118,L06,1 Av,Manhattan,40.730953,-73.981628,West Side,Brooklyn,L,Subway,1
119,L08,Bedford Av,Brooklyn,40.717304,-73.956872,Manhattan,Outbound,L,Subway,1
120,L10,Lorimer St,Brooklyn,40.714063,-73.950275,Manhattan,Outbound,L,Subway,1
121,L11,Graham Av,Brooklyn,40.714565,-73.944053,Manhattan,Outbound,L,Subway,0
122,L12,Grand St,Brooklyn,40.711926,-73.94067,Manhattan,Outbound,L,Subway,1
123,L13,Montrose Av,Brooklyn,40.707739,-73.93985,Manhattan,Outbound,L,Subway,0
124,L14,Morgan Av,Brooklyn,40.706152,-73.933147,Manhattan,Outbound,L,Subway,0
