,gtfs_stop_id,station_id,complex_id,division,line,stop_name,borough,cbd,daytime_routes,structure,gtfs_latitude,gtfs_longitude,north_direction_label,south_direction_label,ada,ada_northbound,ada_southbound,georeference,:@computed_region_yamh_8v7k,:@computed_region_wbg7_3whc,:@computed_region_kjdx_g34t,ada_notes,last_modified
0,R01,1,1,BMT,Astoria,Astoria-Ditmars Blvd,Q,FALSE,N W,Elevated,40.775036,-73.912034,Last Stop,Manhattan,0,0,0,"{'type': 'Point', 'coordinates': [-73.912034, 40.775036]}",196,877,2137,,"Thu, 22 Aug 2024 18:09:53 GMT"
1,R03,2,2,BMT,Astoria,Astoria Blvd,Q,FALSE,N W,Elevated,40.770258,-73.917843,Astoria,Manhattan,1,1,1,"{'type': 'Point', 'coordinates': [-73.917843, 40.770258]}",196,874,2137,,"Thu, 22 Aug 2024 18:09:53 GMT"
2,R04,3,3,BMT,Astoria,30 Av,Q,FALSE,N W,Elevated,40.766779,-73.921479,Astoria,Manhattan,0,0,0,"{'type': 'Point', 'coordinates': [-73.921479, 40.766779]}",196,874,2137,,"Thu, 22 Aug 2024 18:09:53 GMT"
3,R05,4,4,BMT,Astoria,Broadway,Q,FALSE,N W,Elevated,40.76182,-73.925508,Astoria,Manhattan,0,0,0,"{'type': 'Point', 'coordinates': [-73.925508, 40.76182]}",196,878,2137,,"Thu, 22 Aug 2024 18:09:53 GMT"
4,R06,5,5,BMT,Astoria,36 Av,Q,FALSE,N W,Elevated,40.756804,-73.929575,Astoria,Manhattan,0,0,0,"{'type': 'Point', 'coordinates': [-73.929575, 40.756804]}",196,878,2137,,"Thu, 22 Aug 2024 18:09:53 GMT"
5,R08,6,6,BMT,Astoria,39 Av-Dutch Kills,Q,FALSE,N W,Elevated,40.752882,-73.932755,Astoria,Manhattan,0,0,0,"{'type': 'Point', 'coordinates': [-73.932755, 40.752882]}",196,873,2137,,"Thu, 22 Aug 2024 18:09:53 GMT"
6,R11,7,613,BMT,Astoria,Lexington Av/59 St,M,TRUE,N R W,Subway,40.76266,-73.967258,Queens,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-73.967258, 40.76266]}",749,749,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
7,R13,8,8,BMT,Astoria,5 Av/59 St,M,TRUE,N R W,Subway,40.764811,-73.973347,Queens,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-73.973347, 40.764811]}",749,,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
8,R14,9,9,BMT,Broadway - Brighton,57 St-7 Av,M,TRUE,N Q R W,Subway,40.764664,-73.980658,Uptown,Downtown,1,1,1,"{'type': 'Point', 'coordinates': [-73.980658, 40.764664]}",749,742,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
9,R15,10,10,BMT,Broadway - Brighton,49 St,M,TRUE,N R W,Subway,40.759901,-73.984139,Uptown,Downtown,2,1,0,"{'type': 'Point', 'coordinates': [-73.984139, 40.759901]}",749,742,2095,Uptown only,"Thu, 22 Aug 2024 18:09:53 GMT"
10,R16,11,611,BMT,Broadway - Brighton,Times Sq-42 St,M,TRUE,N Q R W,Subway,40.754672,-73.986754,Uptown,Downtown,1,1,1,"{'type': 'Point', 'coordinates': [-73.986754, 40.754672]}",749,741,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
11,R17,12,607,BMT,Broadway - Brighton,34 St-Herald Sq,M,TRUE,N Q R W,Subway,40.749567,-73.98795,Uptown,Downtown,1,1,1,"{'type': 'Point', 'coordinates': [-73.98795, 40.749567]}",749,717,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
12,R18,13,13,BMT,Broadway - Brighton,28 St,M,TRUE,R W,Subway,40.745494,-73.988691,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-73.988691, 40.745494]}",749,717,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
13,R19,14,14,BMT,Broadway - Brighton,23 St,M,TRUE,R W,Subway,40.741303,-73.989344,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-73.989344, 40.741303]}",749,734,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
14,R20,15,602,BMT,Broadway - Brighton,14 St-Union Sq,M,TRUE,N Q R W,Subway,40.735736,-73.990568,Uptown,Downtown,1,1,1,"{'type': 'Point', 'coordinates': [-73.990568, 40.735736]}",749,719,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
15,R21,16,16,BMT,Broadway - Brighton,8 St-NYU,M,TRUE,R W,Subway,40.730328,-73.992629,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-73.992629, 40.730328]}",749,719,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
16,R22,17,17,BMT,Broadway - Brighton,Prince St,M,TRUE,R W,Subway,40.724329,-73.997702,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-73.997702, 40.724329]}",749,736,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
17,R23,18,623,BMT,Broadway,Canal St,M,TRUE,R W,Subway,40.719527,-74.001775,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-74.001775, 40.719527]}",749,737,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
18,Q01,19,623,BMT,Manhattan Bridge,Canal St,M,TRUE,N Q,Subway,40.718383,-74.00046,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-74.00046, 40.718383]}",749,737,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
19,R24,20,20,BMT,Broadway,City Hall,M,TRUE,R W,Subway,40.713282,-74.006978,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-74.006978, 40.713282]}",749,723,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
20,R25,21,624,BMT,Broadway,Cortlandt St,M,TRUE,R W,Subway,40.710668,-74.011029,Uptown,Downtown,1,1,1,"{'type': 'Point', 'coordinates': [-74.011029, 40.710668]}",749,723,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
21,R26,22,22,BMT,Broadway,Rector St,M,TRUE,R W,Subway,40.70722,-74.013342,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-74.013342, 40.70722]}",749,722,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
22,R27,23,635,BMT,Broadway,Whitehall St-South Ferry,M,TRUE,R W,Subway,40.703087,-74.012994,Uptown,Downtown,0,0,0,"{'type': 'Point', 'coordinates': [-74.012994, 40.703087]}",749,720,2095,,"Thu, 22 Aug 2024 18:09:53 GMT"
23,R28,24,620,BMT,Broadway,Court St,Bk,FALSE,R,Subway,40.6941,-73.991777,Manhattan,Southbound,0,0,0,"{'type': 'Point', 'coordinates': [-73.991777, 40.6941]}",894,880,2090,,"Thu, 22 Aug 2024 18:09:53 GMT"
24,R29,25,636,BMT,Broadway,Jay St-MetroTech,Bk,FALSE,R,Subway,40.69218,-73.985942,Manhattan,Southbound,1,1,1,"{'type': 'Point', 'coordinates': [-73.985942, 40.69218]}",894,880,2090,,"Thu, 22 Aug 2024 18:09:53 GMT"
25,R30,26,26,BMT,Broadway - Brighton,DeKalb Av,Bk,FALSE,B Q R,Subway,40.690635,-73.981824,Manhattan,Southbound,1,1,1,"{'type': 'Point', 'coordinates': [-73.981824, 40.690635]}",894,880,2090,,"Thu, 22 Aug 2024 18:09:53 GMT"
