,parid,boro,block,lot,year,street_name,zip_code,owner,land_area,yrbuilt,num_bldgs,bld_story,gross_sqft,zoning,bldg_class,curmkttot,housenum_lo,housenum_hi,last_modified
0,1000010010,1,1,10,2024,ANDES ROAD,10004,GOVERNORS ISLAND CORPORATION,7665016,1900,86,3.50,2542066,R3-2,Y4,337093000,,,"Thu, 03 Oct 2024 21:16:10 GMT"
1,1000010010,1,1,10,2024,ANDES ROAD,10004,GOVERNORS ISLAND CORPORATION,7665016,1900,86,3.50,2542066,R3-2,Y4,337093000,,,"Thu, 03 Oct 2024 21:16:10 GMT"
2,1000010010,1,1,10,2023,GOVERNORS ISLAND,10004,GOVERNORS ISLAND CORPORATION,7736692,1900,86,3.50,2598091,R3-2,Y4,327275000,1,1,"Thu, 03 Oct 2024 21:16:10 GMT"
3,1000010010,1,1,10,2023,GOVERNORS ISLAND,10004,GOVERNORS ISLAND CORPORATION,7736692,1900,86,3.5,2598091,R3-2,Y4,327275000,1,1,"Thu, 03 Oct 2024 21:16:10 GMT"
4,1000010101,1,1,101,2024,LIBERTY ISLAND,10004,U S GOVT LAND & BLDGS,541886,1900,10,0.00,541886,R3-2,P7,30489000,1,1,"Thu, 03 Oct 2024 21:16:10 GMT"
5,1000010101,1,1,101,2024,LIBERTY ISLAND,10004,U S GOVT LAND & BLDGS,541886,1900,10,0.00,541886,R3-2,P7,30489000,1,1,"Thu, 03 Oct 2024 21:16:10 GMT"
6,1000010101,1,1,101,2023,LIBERTY ISLAND,10004,U S GOVT LAND & BLDGS,541886,1900,10,0.00,541886,R3-2,P7,29063000,1,1,"Thu, 03 Oct 2024 21:16:10 GMT"
7,1000010101,1,1,101,2023,LIBERTY ISLAND,10004,U S GOVT LAND & BLDGS,541886,1900,10,0,541886,R3-2,P7,29063000,1,1,"Thu, 03 Oct 2024 21:16:10 GMT"
8,1000010111,1,1,111,2024,ANDES ROAD,10004,GOVERNORS ISLAND CORPORATION,64451,0,0,3.00,47580,R3-2,Y4,8675215,,,"Thu, 03 Oct 2024 21:16:10 GMT"
9,1000010111,1,1,111,2024,ANDES ROAD,10004,GOVERNORS ISLAND CORPORATION,64450,0,0,3.00,47580,R3-2,Y4,8675215,,,"Thu, 03 Oct 2024 21:16:10 GMT"
